Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3122;Julio de Vedia 3792;Perez de Denis y Aberastain Oro;60 Reg - 63 Reg - 65 Reg -;-31,366051;-64,138184
C3124;Lahora 2426;Julio de Vedia y Casilla;60 Reg - 63 Reg - 65 Reg -;-31,364869;-64,138151
C3126;Alexander Fleming 2388;Gabriela Mistral y Lagunilla;63 Reg -;-31,437204;-64,23573
C3128;Alexander Fleming 2692;Octaviano Navarro y Esmeralda;63 Reg -;-31,439017;-64,235784
C3130;Alexander Fleming 2876;Olivares y Los Pinos;63 Reg -;-31,441918;-64,235843
C3132;Alexander Fleming 3090;Augier y Los Nogales;63 Reg -;-31,444115;-64,235725
C3134;Alexander Fleming 3244;Frontera y Fortin;63 Reg -;-31,445575;-64,235687
C3136;Alexander Fleming 3490;Quebrada del Condorito y Estocolmo;63 Reg -;-31,448545;-64,235768
C3138;Estocolmo 3748;Fleming y Varela Ortiz;63 Reg -;-31,448637;-64,237468
C3140;Rufino Varela Ortiz 3255;Antes de Frontera ;63 Reg -;-31,446413;-64,237468
C3142;Frontera 3842;Varela Ortiz y Luis Pasteur;63 Reg -;-31,445868;-64,238611
C3144;Pasteur 3125;Riga y Sin Datos;63 Reg -;-31,445063;-64,239255
C3146;Pasteur 2969;Sin Datos y Los Pinos;63 Reg -;-31,443516;-64,23933
C3148;Los Pinos 3800;Pasteur y Varela Ortiz;63 Reg -;-31,442957;-64,237865
C3150;Diaz de la Fuente 2833;Olivares y Alianza;63 Reg -;-31,442541;-64,236964
C3152;Diaz de la Fuente 2567;Octaviano Navarro y Esmeralda;63 Reg -;-31,439475;-64,236953
C3154;Diaz de la Fuente 2341;Gabriela Mistral y Lagunilla;63 Reg -;-31,437141;-64,236899
C3156;Diaz de la Fuente 2219;Mistral y San Cayetano;63 Reg -;-31,43606;-64,2369
C3158;Diaz de la Fuente 2017;Aconcagua y Uritorco;63 Reg -;-31,433442;-64,236921
C3160;Maestro Vidal 1803;Pinedo y Buchardo;63 Reg -;-31,42978;-64,229969
C3162;Maestro Vidal 1603;Gomez Carrillo y Alberto Williams;63 Reg -;-31,42783;-64,229443
C3164;Maestro Vidal 1447;Ugarte y Agote;63 Reg -;-31,424369;-64,228435
C3166;Verdi 3075;Schubert y Vidal;63 Reg -;-31,42128;-64,22726
C3168;Granados 3131;Warner y Peredo;63 Reg -;-31,42111;-64,225484
C3169;Pueyrredon 2500;Brown y Pasaje s/nombre;63 Reg -;-31,419897;-64,218661
C3170;Pueyrredon 2375;Correa y Vieytes;63 Reg -;-31,419911;-64,217362
C3172;Pueyrredon 2100;Sipe Sipe y Haedo;63 Reg -;-31,420383;-64,214579
C3174;Pueyrredon 2036;Sol de Mayo y Urrutia;63 Reg -;-31,420556;-64,212717
C3175;Pueyrredon 1713;Urrutia y Lopez;63 Reg -;-31,421005;-64,210303
C3176;Pueyrredon 1065;Paso de los Andes y Mariano Moreno;63 Reg - 64 Reg -;-31,423326;-64,202224
C3178;Peredo 400;Bolivar y M.T. de Alvear;63 Reg - 64 Reg -;-31,42577;-64,195615
